Value,Count,World_Lan1,World_Mois,World_Temp,World_Lan2,LF_ClassNa,LC_ClassNa,Temp_Class,Moisture_C,Temp_Moist,W_Ecosystm
"1",41603050.00000000000,"4","3","6","6",Plains,Sparsley or Non vegetated,Polar,Moist,Polar Moist,Polar Moist Sparsley or Non vegetated on Plains
"2",96589870.00000000000,"4","3","6","8",Plains,Snow and Ice,Polar,Moist,Polar Moist,Polar Moist Snow and Ice on Plains
"3",1262986.00000000000,"1","2","6","8",Mountains,Snow and Ice,Polar,Dry,Polar Dry,Polar Dry Snow and Ice on Mountains
"4",10775926.00000000000,"1","2","6","6",Mountains,Sparsley or Non vegetated,Polar,Dry,Polar Dry,Polar Dry Sparsley or Non vegetated on Mountains
"5",41915363.00000000000,"1","3","6","6",Mountains,Sparsley or Non vegetated,Polar,Moist,Polar Moist,Polar Moist Sparsley or Non vegetated on Mountains
"6",14230437.00000000000,"1","3","6","8",Mountains,Snow and Ice,Polar,Moist,Polar Moist,Polar Moist Snow and Ice on Mountains
"7",1227825.00000000000,"3","2","6","6",Tablelands,Sparsley or Non vegetated,Polar,Dry,Polar Dry,Polar Dry Sparsley or Non vegetated on Tablelands
"8",6375.00000000000,"3","2","6","8",Tablelands,Snow and Ice,Polar,Dry,Polar Dry,Polar Dry Snow and Ice on Tablelands
"9",17148.00000000000,"4","2","6","8",Plains,Snow and Ice,Polar,Dry,Polar Dry,Polar Dry Snow and Ice on Plains
"10",15151477.00000000000,"3","3","6","6",Tablelands,Sparsley or Non vegetated,Polar,Moist,Polar Moist,Polar Moist Sparsley or Non vegetated on Tablelands
"11",4182414.00000000000,"3","3","6","8",Tablelands,Snow and Ice,Polar,Moist,Polar Moist,Polar Moist Snow and Ice on Tablelands
"12",3801846.00000000000,"2","2","6","6",Hills,Sparsley or Non vegetated,Polar,Dry,Polar Dry,Polar Dry Sparsley or Non vegetated on Hills
"13",14377.00000000000,"2","2","6","8",Hills,Snow and Ice,Polar,Dry,Polar Dry,Polar Dry Snow and Ice on Hills
"14",11027239.00000000000,"4","2","6","6",Plains,Sparsley or Non vegetated,Polar,Dry,Polar Dry,Polar Dry Sparsley or Non vegetated on Plains
